ERITREAN,ERI,ERITREA,,
ESTONIAN,EST,ESTONIA,,
ETHIOPIAN,ETH,ETHIOPIA,,
FALKLAND ISLAND,FLK,FALKLAND ISLANDS (MALVINAS),,
FAROESE,FRO,FAROE ISLANDS,,
FIJIAN,FJI,FIJI,,
FINNISH,FIN,FINLAND,,
FRENCH,FRA,FRANCE,FRANCAISE,
FRENCH GUIANESE,GUF,FRENCH GUIANA,,
FRENCH POLYNESIAN,PYF,FRENCH POLYNESIA,,
FRENCH SOUTHERN TERRITORIES,ATF,FRENCH SOUTHERN TERRITORIES,,
GABONESE,GAB,GABON,,
GAMBIAN,GMB,GAMBIA,,
GEORGIAN,GEO,GEORGIA,,
GERMAN,DEU,GERMANY,DEUTSCHLAND,DEUTSCH
GHANAIAN,GHA,GHANA,,
GIBRALTAR,GIB,GIBRALTAR,,
GREEK,GRC,GREECE,,
GREENLANDIC,GRL,GREENLAND,,
GRENADIAN,GRD,GRENADA,,
GUADELOUPE,GLP,GUADELOUPE,,
GUAMANIAN,GUM,GUAM,,
GUATEMALAN,GTM,GUATEMALA,,
GUINEAN,GIN,GUINEA,,
BISSAU-GUINEAN,GNB,GUINEA BISSAU,,
GUYANESE,GUY,GUYANA,,
HAITIAN,HTI,HAITI,,
HEARD ISLAND OR MCDONALD ISLANDS,HMD,HEARD ISLAND AND MCDONALD ISLANDS,,
VATICAN,VAT,VATICAN CITY STATE,,
HONDURAN,HND,HONDURAS,,
HONG KONG,HKG,HONG KONG,,
HUNGARIAN,HUN,HUNGARY,,
ICELANDIC,ISL,ICELAND,,
INDIAN,IND,INDIA
INDONESIAN,IDN,INDONESIA,JAKARTA,
IRANIAN,IRN,IRAN,,
IRAQI,IRQ,IRAQ,,
IRISH,IRL,IRELAND,,
MANX,IMN,ISLE OF MAN,,
ISRAELI,ISR,ISRAEL,,
ITALIAN,ITA,ITALY,,
JAMAICAN,JAM,JAMAICA,,
JAPANESE,JPN,JAPAN,,
JORDANIAN,JOR,JORDAN,,
KAZAKHSTANI,KAZ,KAZAKHSTAN,,
KENYAN,KEN,KENYA,,
I-KIRIBATI,KIR,KIRIBATI,,
NORTH KOREAN,PRK,KOREA,,
SOUTH KOREAN,KOR,KOREA,,
KUWAITI,KWT,KUWAIT,,
KYRGYZSTANI,KGZ,KYRGYZSTAN,,
LAOTIAN,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,,
LATVIAN,LVA,LATVIA,,
LEBANESE,LBN,LEBANON,,
BASOTHO,LSO,LESOTHO,,
LIBERIAN,LBR,LIBERIA,,
LIBYAN,LBY,LIBYA,,
LIECHTENSTEIN,LIE,LIECHTENSTEIN,,
LITHUNIAN,LTU,LITHUANIA,LIETUVOS,
LITHUANIAN,LTU,LITHUANIA,LIETUVOS,
LUXEMBOURGER,LUX,LUXEMBOURG,,
MACANESE,MAC,MACAO,,
MACEDONIAN,MKD,MACEDONIA,,
MALAGASY,MDG,MADAGASCAR,,
MALAWIAN,MWI,MALAWI,,
MALAYSIAN,MYS,MALAYSIA,,
MALDIVIAN,MDV,MALDIVES,,
MALIAN,MLI,MALI,,
MALTESE,MLT,MALTA,,
MARSHALLESE,MHL,MARSHALL ISLANDS,,
MARTINICAN,MTQ,MARTINIQUE,,
MAURITANIAN,MRT,MAURITANIA,,
MAURITIAN,MUS,MAURITIUS,,
MAHORAN,MYT,MAYOTTE,,
MEXICAN,MEX,MEXICO,,
MICRONESIAN,FSM,MICRONESIA,,
MOLDOVAN,MDA,MOLDOVA,,
MONACAN,MCO,MONACO,,
MONGOLIAN,MNG,MONGOLIA,,
MONTENEGRIN,MNE,MONTENEGRO,,
MONTSERRATIAN,MSR,MONTSERRAT,,
MOROCCAN,MAR,MOROCCO,,
MOZAMBICAN,MOZ,MOZAMBIQUE,,
BURMESE,MMR,MYANMAR,,
NAMIBIAN,NAM,NAMIBIA,,
NAURUAN,NRU,NAURU,,
NEPALESE,NPL,NEPAL,,
NETHERLANDIC,NLD,NETHERLANDS,,
DUTCH,NLD,NETHERLANDS,NEDERLANDSE,NEDERLANDEN
NEW CALEDONIAN,NCL,NEW CALEDONIA,,
NEW ZEALANDER,NZL,NEW ZEALAND,,
NICARAGUAN,NIC,NICARAGUA,,
NIGERIEN,NER,NIGER,,
NIGERIAN,NGA,NIGERIA,,
NIUEAN,NIU,NIUE,,
NORFOLK ISLANDER,NFK,NORFOLK ISLAND,,
NORTHERN MARIANAN,MNP,NORTHERN MARIANA ISLANDS,,
NORWEGIAN,NOR,NORWAY,NORGE,
OMANI,OMN,OMAN,,
PAKISTANI,PAK,PAKISTAN,,
PALAUAN,PLW,PALAU,,
PALESTINIAN,PSE,PALESTINE,,
PANAMANIAN,PAN,PANAMA,,
PAPUA NEW GUINEAN,PNG,PAPUA NEW GUINEA,,
PARAGUAYAN,PRY,PARAGUAY,,
PERUVIAN,PER,PERU,,
FILIPINO,PHL,PHILIPPINES,,
PITCAIRN ISLANDER,PCN,PITCAIRN,,
POLISH,POL,POLAND,POLSKA,POLSKIE
PORTUGUESE,PRT,PORTUGAL,PORTUGUESA,
PUERTO RICAN,PRI,PUERTO RICO,,
QATARI,QAT,QATAR,,
REUNIONESE,REU,REUNION,,
ROMANIAN,ROU,ROMANIA,,
RUSSIAN,RUS,RUSSIAN FEDERATION,,
RWANDAN,RWA,RWANDA,,
BARTHELEMOIS,BLM,SAINT BARTHELEMY,,
KITTITIAN OR NEVISIAN,KNA,SAINT KITTS AND NEVIS,,
SAINT LUCIAN,LCA,SAINT LUCIA,,
SAINT-MARTINOISE,MAF,SAINT MARTIN (FRENCH PART),,
SAINT VINCENTIAN,VCT,SAINT VINCENT AND THE GRENADINES,,
SAMOAN,WSM,SAMOA,,
SAMMARINESE,SMR,SAN MARINO,,
SAO TOMEAN,STP,SAO TOME AND PRINCIPE,,
SAUDI ARABIAN,SAU,SAUDI ARABIA,,
SENEGALESE,SEN,SENEGAL,,
SERBIAN,SRB,SERBIA,,
SEYCHELLOIS,SYC,SEYCHELLES,,
SIERRA LEONEAN,SLE,SIERRA LEONE,,
SINGAPOREAN,SGP,SINGAPORE,,
SINT MAARTEN,MAF,SINT MAARTEN (DUTCH PART),,
SLOVAKIAN,SVK,SLOVAKIA,SLOVENIJA,SLOVENSKA
SLOVENIAN,SVN,SLOVENIA,SLOVENIJA,
SOLOMON ISLANDER,SLB,SOLOMON ISLANDS,,
SOMALI,SOM,SOMALIA,,
SOUTH AFRICAN,ZAF,SOUTH AFRICA,SUID-AFRIKA,
SOUTH GEORGIA OR SOUTH SANDWICH ISLANDS,SGS,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,,
SOUTH SUDANESE,SSD,SOUTH SUDAN,,
SPANISH,ESP,SPAIN,,
SRI LANKAN,LKA,SRI LANKA,,
SUDANESE,SDN,SUDAN,,
SURINAMESE,SUR,SURINAME,,
SVALBARD AND JAN MAYEN ISLANDS,SJM,SVALBARD AND JAN MAYEN,,
SWAZI,SWZ,SWAZILAND,,
SWEDISH,SWE,SWEDEN,,
SWISS,CHE,SWITZERLAND,,
SYRIAN,SYR,SYRIAN ARAB REPUBLIC,,
TAIWANESE,TWN,TAIWAN,,
TAJIKISTANI,TJK,TAJIKISTAN,,
TANZANIAN,TZA,TANZANIA,,
THAI,THA,THAILAND,,
TIMORESE,TLS,TIMOR-LESTE,,
TOGOLESE,TGO,TOGO,,
TOKELAUAN,TKL,TOKELAU,,
TONGAN,TON,TONGA,,
TRINIDADIAN,TTO,TRINIDAD AND TOBAGO,TRINIDAD,
TUNISIAN,TUN,TUNISIA,,
TURKISH,TUR,TURKEY,TURKIYE,
TURKMEN,TKM,TURKMENISTAN,,
TURKS AND CAICOS ISLAND,TCA,TURKS AND CAICOS ISLANDS,,
TUVALUAN,TUV,TUVALU,,
UGANDAN,UGA,UGANDA,,
UKRAINIAN,UKR,UKRAINE,,
EMIRATI,ARE,UNITED ARAB EMIRATES,,
AMERICAN,USA,UNITED STATES MINOR OUTLYING ISLANDS,UNITED STATES OF AMERICA
U.S. TERRITORY,USA,UNITED STATES OF AMERICA,USA,
URUGUAYAN,URY,URUGUAY,,
UZBEKISTANI,UZB,UZBEKISTAN,,
VANUATUAN,VUT,VANUATU,,
VENEZUELAN,VEN,VENEZUELA,,
VIETNAMESE,VNM,VIETNAM,VIET NAM,
BRITISH VIRGIN ISLAND,VGB,VIRGIN ISLANDS (BRITISH),,
U.S. VIRGIN ISLAND,VIR,VIRGIN ISLANDS (U.S.),,
WALLIS AND FUTUNA,WLF,WALLIS AND FUTUNA,,
SAHRAWI,ESH,WESTERN SAHARA,,
YEMENI,YEM,YEMEN,,
ZAMBIAN,ZMB,ZAMBIA,,
ZIMBABWEAN,ZWE,ZIMBABWE,,
LITHUANIAN,LTU,LITHUANIA,LIETUVOS,
BRITISH,GBR,UNITED KINGDOM,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,UK
KOSOVAR,UNK,REPUBLIC OF KOSOVO,,
ABKHAZIAN,,ABKHAZIA,,
ALANDIC,ALA,ALAND ISLANDS,,
ARUBIAN,ABW,ARUBA,,
AUSTRALIAN EXTERNAL TERRITORY,AUS,AUSTRALIA,,
BAHAMEESE,BHS,BAHAMAS,,
BAHRAINIAN,BHR,BAHRAIN,,
CAPE VERDEAN,CPV,CAPE VERDE,,
CARIBBEAN NETHERLANDS,NLD,NETHERLAND,,
ECUADOREAN,EST,ESTONIA,,
EMIRIAN,ARE,UNITED ARAB EMIRATES,,
GREENLANDER,GRL,GREENLAND,,
GUADELOUPEAN,GLP,GUADELOUPE,,
ICELANDER,ISL,ICELAND,,
MALDIVAN,MDV,MALDIVES,,
NI-VANUATU,VUT,VANUATU,,
SALVADOREAN,SLV,EL SALVADOR,,
SANMARINESE,SMR,SAN MARINO,,
SURINAMER,SUR,SURINAME,,

ANTIGUAN OR BARBUDAN,ATG,ANTIGUA AND BARBUDA,,
ANTIGUAN,ATG,ANTIGUA AND BARBUDA,,
ASCENSION AND TRISTAN DA CUNHA,SH,SAINT HELENA,,
ASCENSION,SH,SAINT HELENA,,
AUSTRALIAN ANTARCTIC TERRITORY,AUS,AUSTRALIA,,
BAKER ISLAND,
BRITISH ANTARCTIC TERRITORY,
BIOT,IOT,BRITISH INDIAN OCEAN TERRITORY,,
BRITISH INDIAN OCEAN TERRITORY,IOT,BRITISH INDIAN OCEAN TERRITORY,,
BRITISH OVERSEAS TERRITORY,
BRITISH SOVEREIGN BASE AREAS,
CLIPPERTON ISLAND,
FRENCH OVERSEAS COLLECTIVITY,
FRENCH OVERSEAS REGION,
FRENCH SOUTHERN AND ANTARCTIC LANDS,
GIBRALTARIAN,
CHANNEL ISLAND,GGY,GUERNSEY,JERSEY,
GUERNSEY,GGY,GUERNSEY,JERSEY,
CHANNEL ISLAND,GGY,GUERNSEY,JERSEY,
JERSEY,GGY,GUERNSEY,JERSEY,
HOWLAND ISLAND,
JARVIS ISLAND,
JOHNSTON ATOLL,
KINGMAN REEF,
KITTIAN,
LIECHTENSTEINER,
MOSOTHO,
MAYANMARESE,MMR,MYANMAR,,
MYANMAR,MMR,MYANMAR,,
NAGORNO-KARABAKH,
NAVASSA ISLAND,
PALMYRA ATOLL,
PETER I ISLAND,
PRIDNESTROVIE (TRANSNISTRIA),
QUEEN MAUD LAND,
ROSS DEPENDENCY,
SAINT-PIERRAIS OR MIQUELONNAIS,SPM,SAINT PIERRE AND MIQUELON,,
SAINT-PIERRAIS,SPM,SAINT PIERRE AND MIQUELON,,
SOMALILAND,
SOUTH OSSETIA,
ASCENSION AND TRISTAN DA CUNHA,SH,SAINT HELENA,,
TRISTAN DA CUNHA,
WAKE ISLAND,
WESTERN SAHARAN,
SAHRAWI,ESH,WESTERN SAHARA,,
